#wavelength (nm), radius_ratio (rr), error of rr (+), error of rr (-)
2.822375803947853001e+03,1.469062657821104678e-01,1.749830865326928997e-03,1.583019329144064180e-03
2.823054428114397524e+03,1.507788541526117743e-01,1.468038914311936560e-03,1.686386480450219327e-03
2.823733049388547443e+03,1.477398809227999932e-01,1.630186347628403976e-03,1.780534506984121634e-03
2.824411667767001290e+03,1.485109668793907489e-01,1.524309009663521453e-03,1.542383338459407671e-03
2.825090283246438958e+03,1.486702102964776451e-01,1.856948039985734100e-03,1.524945146933825990e-03
2.825768895823634921e+03,1.535811089975151478e-01,1.489697315106036646e-03,1.746693656933473449e-03
2.826447505495293626e+03,1.501370302962694581e-01,1.445048951999400311e-03,1.623340682012475167e-03
2.827126112258104513e+03,1.497050768341403604e-01,1.772145358599819254e-03,1.209625231137934076e-03
2.827804716108843422e+03,1.474308091743362636e-01,1.532244152620931832e-03,1.182915979602489065e-03
2.828483317044222531e+03,1.455375510095711367e-01,1.764556462967331596e-03,1.419857312938088700e-03
2.829161915060939918e+03,1.477413984154106186e-01,1.512993361741765685e-03,1.674993249536099738e-03
2.829840510155778702e+03,1.472945552858889451e-01,1.249082338456775076e-03,1.934584491415120011e-03
2.830519102325451968e+03,1.490641338507668334e-01,1.503578802554861316e-03,1.587008123636129975e-03
2.831197691566669619e+03,1.494462145061840053e-01,1.263550384820677497e-03,1.641815995315043519e-03
2.831876277876221593e+03,1.493831522504289189e-01,1.719700449651612173e-03,1.357446692285824152e-03
2.832554861250820068e+03,1.495524450544652995e-01,1.421143884924563894e-03,1.718457707179127381e-03
2.833233441687191771e+03,1.494718197429601436e-01,1.412118698961184471e-03,1.717962942160866646e-03
2.833912019182125732e+03,1.492321320465562207e-01,1.617896999709461658e-03,1.406016888325062331e-03
2.834590593732340039e+03,1.508214229411432017e-01,1.572917287497643812e-03,1.753740032387207659e-03
2.835269165334574154e+03,1.499679070762222344e-01,1.499153895519550472e-03,1.478043467804307509e-03
2.835947733985621198e+03,1.488469297560436888e-01,1.166656288737716318e-03,1.761177412267084241e-03
2.836626299682196986e+03,1.479828173207177744e-01,1.543674522858307085e-03,1.431065547591314768e-03
2.837304862421060989e+03,1.514633732610361772e-01,1.286508114076378995e-03,1.823136500793354209e-03
2.837983422199007691e+03,1.491714451403133856e-01,1.513978673593097124e-03,1.549495572536668808e-03
2.838661979012750635e+03,1.528298531065305776e-01,1.342394322861900635e-03,1.427137505170816834e-03
2.839340532859068844e+03,1.478374094651270232e-01,1.502642629743533575e-03,1.634456235221570797e-03
2.840078114319790075e+03,1.493416596398188800e-01,1.652398658576692547e-03,1.517967266950692728e-03
2.840756664711752364e+03,1.498735371615717016e-01,1.807770488488874561e-03,1.311590713562238442e-03
2.841435212126015358e+03,1.500416010541850143e-01,1.350287582308928869e-03,1.510149098735646955e-03
2.842113756559282592e+03,1.473179731724401087e-01,1.431573641649946937e-03,1.569541604013707792e-03
2.842792298008396756e+03,1.481770039737537181e-01,1.560077810769028295e-03,1.398281187811462045e-03
2.843470836470121867e+03,1.485477078841148102e-01,1.756252386469897564e-03,1.548945678207930277e-03
2.844149371941189202e+03,1.513837136928358751e-01,1.398439835622017346e-03,1.531220177052011744e-03
2.844827904418435992e+03,1.476361285128723055e-01,1.911981445747140684e-03,1.155382118044889772e-03
2.845506433898623527e+03,1.518024084951566655e-01,1.317269780469976226e-03,1.717579908041111381e-03
2.846184960378508094e+03,1.485554557817768406e-01,1.014063885020455302e-03,1.933913431176020881e-03
2.846863483854925562e+03,1.454456720926304292e-01,1.457542060425615071e-03,1.420856703989975545e-03
2.847542004324629488e+03,1.494398932761331900e-01,1.278717970369741552e-03,1.645789710912420878e-03
2.848220521784407538e+03,1.455524075476491708e-01,1.436060230294577966e-03,1.716634278296741423e-03
2.848899036231089212e+03,1.487300750239494151e-01,1.899054676423234111e-03,1.522120646018365608e-03
2.849577547661424887e+03,1.488875014139771080e-01,1.343956789108452510e-03,1.313840725326975711e-03
2.850256056072226784e+03,1.484022506791600193e-01,1.446995077347107417e-03,1.289318477621509418e-03
2.850934561460323948e+03,1.496028541889828367e-01,1.360460400143231885e-03,1.428624659240623762e-03
2.851613063822458116e+03,1.502027486176407134e-01,1.601687788115035982e-03,1.417861399327396965e-03
2.852291563155475160e+03,1.486178533603588758e-01,1.695847920013260346e-03,1.335020956365146061e-03
2.852970059456196850e+03,1.493143594567445942e-01,1.254836984098478547e-03,1.389657797848442566e-03
2.853648552721355372e+03,1.489094836313481496e-01,1.194843534618267311e-03,1.708200419297034589e-03
2.854327042947834798e+03,1.489227336321016781e-01,1.506667066994565873e-03,1.566740590492776697e-03
2.855005530132431431e+03,1.476864840363155684e-01,1.335529611433045050e-03,1.398432926795117881e-03
2.855684014271912019e+03,1.479698409241506085e-01,1.326452199640976160e-03,1.404296798092480314e-03
2.856362495363153812e+03,1.478793991569082311e-01,1.406102804695857911e-03,1.774292928453546914e-03
2.857040973402945383e+03,1.468703036245233851e-01,1.544026095182671199e-03,1.253238087054631134e-03
2.857719448388088040e+03,1.480709761278161118e-01,1.488802341344547253e-03,1.563762346925040569e-03
2.858397920315452666e+03,1.500041242454502322e-01,1.399555517670680871e-03,1.589373374289465568e-03
2.859076389181816921e+03,1.478328941355470938e-01,1.212276441486664913e-03,1.472127282446361596e-03
2.859754854984019403e+03,1.505015830532335785e-01,1.578131671864990704e-03,1.275696598396686143e-03
2.860433317718921444e+03,1.470797229050741783e-01,1.320748331608473380e-03,1.596781059672147673e-03
2.861111777383290246e+03,1.467624281649650420e-01,1.365444170439406024e-03,1.562490970232366383e-03
2.861790233974006242e+03,1.478206508613423287e-01,1.453694366206403910e-03,1.213626355754449104e-03
2.862468687487913485e+03,1.481713179011857617e-01,1.190493030420208820e-03,1.531273913959352306e-03
2.863147137921781450e+03,1.509994099526349165e-01,1.521059143611891429e-03,1.075032965495520410e-03
2.863825585272519675e+03,1.492313262976778798e-01,1.666670398122072072e-03,1.241017969349667016e-03
2.864504029536946746e+03,1.486730197043760193e-01,1.418467247168403444e-03,1.476494736083272530e-03
2.865182470711873520e+03,1.491327038185265574e-01,1.486317786243307459e-03,1.348963879260201004e-03
2.865860908794199077e+03,1.505043402907468852e-01,2.193704673713492426e-03,1.944428340662829324e-03
2.866539343780728814e+03,1.480577506155195677e-01,1.330451706500368481e-03,1.336290896083808244e-03
2.867217775668317245e+03,1.484200651510643176e-01,1.402563328749162341e-03,1.673087257939354089e-03
2.867896204453852079e+03,1.486975081288735567e-01,1.449399570154386030e-03,1.214748730827358569e-03
2.868574630134122344e+03,1.496008107631650041e-01,1.493015196478597595e-03,1.128905918101663630e-03
2.869253052706032122e+03,1.476042745798755162e-01,1.469029359311091465e-03,1.342681714004229088e-03
